sensor_id,n_cases,n_detected,coverage,avg_detection_time,median_detection_time,first_detector_count,avg_max_H2,avg_distance_to_leak,score
S19_ceiling_grid,106,16,0.1509433962264151,36.0,29.25,7,0.04764119562292243,4.632053478129897,357.52322274830004
S04_ceiling_grid,106,13,0.12264150943396226,42.53846153846154,30.5,8,0.014881496550186786,4.661108991419542,354.5910524374446
S13_ceiling_grid,106,12,0.11320754716981132,27.708333333333332,27.25,7,0.033280519970172895,3.8154861636511157,324.0336148668857
S20_ceiling_grid,106,21,0.19811320754716982,52.142857142857146,45.0,5,0.01779626193743763,5.350565105419664,319.11649544104796
S18_ceiling_grid,106,10,0.09433962264150944,28.45,23.75,7,0.01908659205349025,4.356714453858472,302.23190655401885
S10_ceiling_grid,106,19,0.1792452830188679,57.71052631578947,52.5,5,0.021911130574802467,4.887985136480625,297.2545624675185
S14_ceiling_grid,106,17,0.16037735849056603,37.38235294117647,32.0,5,0.031327255644959334,4.110281572412649,294.1689349432727
S21_outlet_low,106,7,0.0660377358490566,16.5,16.5,7,0.01704941947875224,4.423154017117426,281.8048318107685
S08_ceiling_grid,106,8,0.07547169811320754,27.25,28.0,5,0.025854599684276086,3.831304526258599,215.52207629165778
S05_ceiling_grid,106,16,0.1509433962264151,55.0625,40.5,3,0.025178263520246928,5.3705181321147215,201.40990397295582
S15_ceiling_grid,106,19,0.1792452830188679,57.578947368421055,51.5,2,0.020932359393998665,4.881841552524106,192.14820168782796
S09_ceiling_grid,106,14,0.1320754716981132,42.535714285714285,34.5,3,0.014554773404507426,4.1196895692340325,188.93052618369813
S12_ceiling_grid,106,5,0.04716981132075472,23.1,23.0,5,0.009170009078425485,4.053197831230788,185.62350897750122
S03_ceiling_grid,106,6,0.05660377358490566,36.0,39.0,3,0.012233206870865043,4.400599510135358,117.27917678502415
S07_ceiling_grid,106,5,0.04716981132075472,28.5,27.5,3,0.0018562467889993836,4.072251372129632,104.90616847713589
S17_ceiling_grid,106,3,0.02830188679245283,25.166666666666668,25.5,3,0.007109806350857891,4.577086224170456,94.20379784691664
S02_ceiling_grid,106,3,0.02830188679245283,26.0,26.0,3,0.005044944568239248,4.628935089351846,92.13045078082676
S22_outlet_mid,106,10,0.09433962264150944,26.75,25.0,1,0.013968340276487,4.729428195452156,92.06607070325933
S23_outlet_high,106,8,0.07547169811320754,30.1875,27.25,1,0.01570691630915462,5.095178479602771,71.30135741049556
S25_robot_reference,106,2,0.018867924528301886,5.75,5.75,2,0.022961602721253544,2.4241187265468893,68.45294651414045
S24_outlet_high_right,106,11,0.10377358490566038,47.04545454545455,36.5,0,0.007320532572848096,5.090647948614262,49.48719349818273
S16_ceiling_grid,106,0,0.0,999999,999999,0,2.141887274137786e-05,5.260250163486052,-700045.992033692
S11_ceiling_grid,106,0,0.0,999999,999999,0,4.1591117937719626e-06,4.78746360798948,-700053.1099930154
S01_ceiling_grid,106,0,0.0,999999,999999,0,3.746569163391157e-06,5.30901205320963,-700053.5636612979
S06_ceiling_grid,106,0,0.0,999999,999999,0,2.186819518351208e-08,4.805342593600839,-700075.901671993
